ID,Year,CC,Mileage,Price
413,2003,1598,100500,2595
414,2011,1598,30500,9495
415,2005,1598,120500,3395
416,2006,1598,60500,5791
417,2012,1598,40500,9779
418,2004,1598,80500,3695
419,2013,1598,70500,7270
420,2013,1598,30500,7500
421,2005,1598,90500,3970
422,2008,1598,50500,6995
423,2009,1598,60500,6970
424,2005,1598,60500,4995
425,2009,1600,80500,6690
426,2011,1598,40500,7980
427,2010,1598,70500,7270
428,2008,1598,70500,5650
429,2008,1598,60500,5450
430,2013,1598,20500,9970
431,2015,1198,10500,11000
432,2015,1998,10500,9650
433,2013,1598,40500,8670
434,2012,1598,40500,12250
435,2012,1598,80500,8489
436,2013,1598,10500,1234
437,2013,1598,80500,7789
438,2012,1995,60500,11980
439,2007,1598,90500,4750
440,2003,1598,100500,4995
441,2008,1598,60500,6470
442,2005,1598,110500,3795
443,2002,1598,100500,3650
444,2007,1598,80500,6995
445,2009,1598,70500,6895
446,2006,1598,110500,3500
447,2013,1995,50500,12750
448,2010,1598,30500,7970
449,2006,1598,60500,6295
450,2012,1598,50500,1141
451,2014,1598,20500,5950
452,2008,1397,50500,5270
453,2013,1598,30500,1158
454,2007,1598,90500,3250
455,2007,1598,70500,5950
456,2001,0,120500,2500
457,2005,1600,90500,3690
458,2009,1560,80500,5995
459,2008,1598,100500,4995
460,2005,1598,80500,4795
461,2005,1598,30500,6499
462,2005,1598,130500,3500
463,2006,1598,90500,4495
464,2006,1598,80500,5495
465,2004,1598,100500,3995
466,2009,1598,70500,6789
467,2004,1598,60500,5300
468,2003,1598,80500,4295
469,1971,998,60500,8000
470,2013,1598,30500,12450
471,2002,1598,60500,3250
472,2010,1598,50500,7650
473,2011,1600,60500,7750
474,2002,1598,80500,2695
475,2003,1598,50500,3500
476,2012,1598,50500,8450
477,2002,1598,90500,3150
478,2010,1598,110500,5250
479,2004,1598,10500,3300
480,2009,1397,60500,6995
481,2006,1598,60500,6495
482,2012,1598,20500,10995
483,2007,1598,80500,5450
484,2008,1600,90500,5995
485,2007,1598,100500,5500
486,2007,1598,50500,6990
487,2004,1598,80500,4300
488,2005,1598,100500,3750
489,2007,1397,80500,4495
490,2005,1598,60500,6200
491,1974,1300,30500,6500
492,2002,1600,130500,2400
493,2006,1598,50500,6495
494,2009,1598,40500,3450
495,2003,1598,60500,2850
